equipo,victorias,empates,derrotas,victoriasxtemporada,empatesxtemp,derrotasxtemp,porcentaje_victorias,porcentaje_empates,porcentaje_derrotas
Copenhague,2.0,2.0,2.0,2.0,2.0,2.0,33.3,33.3,33.3
Leipzig,14.0,2.0,8.0,14.0,2.0,8.0,58.3,8.3,33.3
PSG,16.0,4.0,9.0,16.0,4.0,9.0,55.2,13.8,31.0
Lazio,5.0,5.0,4.0,5.0,5.0,4.0,35.7,35.7,28.6
PSV,2.0,3.0,1.0,2.0,3.0,1.0,33.3,50.0,16.7
Inter,6.0,7.0,5.0,6.0,7.0,5.0,33.3,38.9,27.8
Porto,10.0,1.0,5.0,10.0,1.0,5.0,62.5,6.2,31.2
Napoles,3.0,1.0,2.0,3.0,1.0,2.0,50.0,16.7,33.3
Bayern,24.0,2.0,1.0,24.0,2.0,1.0,88.9,7.4,3.7
Real Sociedad,3.0,3.0,0.0,3.0,3.0,0.0,50.0,50.0,0.0
Manchester City,23.0,3.0,2.0,23.0,3.0,2.0,82.1,10.7,7.1
Barcelona,14.0,4.0,5.0,14.0,4.0,5.0,60.9,17.4,21.7
Arsenal,4.0,1.0,1.0,4.0,1.0,1.0,66.7,16.7,16.7
Atletico Madrid,10.0,6.0,1.0,10.0,6.0,1.0,58.8,35.3,5.9
Dortmund,12.0,5.0,7.0,12.0,5.0,7.0,50.0,20.8,29.2
Real Madrid,15.0,5.0,6.0,15.0,5.0,6.0,57.7,19.2,23.1
